iter	MAE
0	0.5870519871
1	0.5657080537
2	0.5477647554
3	0.5305942114
4	0.5123636518
5	0.4952041675
6	0.478384224
7	0.4633107634
8	0.4486628633
9	0.4353986585
10	0.4237935211
11	0.4115296909
12	0.4006797875
13	0.3901266398
14	0.3812466772
15	0.3713962699
16	0.3625700379
17	0.3531681444
18	0.346985531
19	0.3420249657
20	0.3348676683
21	0.3289757446
22	0.3224770722
23	0.3167289602
24	0.3116641184
25	0.3068472369
26	0.3015752579
27	0.2978288322
28	0.2935241977
29	0.2895332225
30	0.2867796224
31	0.2825718948
32	0.2784527481
33	0.2746498361
34	0.2712212485
35	0.2677540919
36	0.2651097024
37	0.2630564846
38	0.2609032037
39	0.2582410529
40	0.2558848792
41	0.2529055173
42	0.2498960331
43	0.2474651201
44	0.2457606394
45	0.2438981843
46	0.2422617919
47	0.2408657792
48	0.238954171
49	0.2372862206
50	0.2355439458
51	0.23414138
52	0.2326659516
53	0.2311673292
54	0.2295847903
55	0.228118772
56	0.226699911
57	0.2249696611
58	0.2243431371
59	0.2230884801
60	0.2214214328
61	0.2202277068
62	0.2192630497
63	0.218715454
64	0.2179047244
65	0.2166447249
66	0.2156098463
67	0.2147261286
68	0.2137933237
69	0.2129503144
70	0.2124319307
71	0.2113069117
72	0.2105404866
73	0.2098555039
74	0.2093137238
75	0.2086990789
76	0.2079084238
77	0.2074848842
78	0.2068394367
79	0.2062689789
80	0.2054852755
81	0.204725918
82	0.2039630573
83	0.2035939051
84	0.2027728156
85	0.2021893659
86	0.2019669147
87	0.2015404132
88	0.2010409008
89	0.2004219942
90	0.199680103
91	0.199448183
92	0.1989444572
93	0.1984592983
94	0.1978542054
95	0.1973329733
96	0.1968017226
97	0.1962796766
98	0.1956617489
99	0.1955144189
100	0.1951819576
101	0.194636928
102	0.1943236265
103	0.1938281009
104	0.1935628078
105	0.1930580607
106	0.1927554224
107	0.1925236687
108	0.192023077
109	0.1911444317
110	0.1905822646
111	0.1903272242
112	0.1899776164
113	0.189882114
114	0.1897856431
115	0.1894784312
116	0.188949935
117	0.1882751991
118	0.1878740946
119	0.1872281679
120	0.1868562202
121	0.186448237
122	0.1861161855
