iter	Passed	Remaining
0	61	122107
1	63	63917
2	66	44539
3	68	34417
4	71	28403
5	74	24621
6	76	21891
7	79	19866
8	82	18201
9	85	17081
10	90	16398
11	93	15539
12	96	14733
13	98	14009
14	101	13453
15	103	12894
16	107	12568
17	111	12252
18	114	11982
19	115	11481
20	119	11244
21	121	10958
22	126	10843
23	128	10591
24	131	10426
25	135	10278
26	138	10111
27	141	9985
28	144	9833
29	147	9678
30	148	9436
31	151	9291
32	153	9130
33	155	9007
34	159	8928
35	161	8819
36	165	8764
37	167	8631
38	169	8527
39	172	8458
40	174	8354
41	177	8296
42	180	8208
43	182	8120
44	185	8038
45	187	7961
46	190	7912
47	192	7819
48	196	7807
49	198	7753
50	201	7706
51	204	7665
52	206	7594
53	209	7539
54	212	7508
55	214	7444
56	216	7389
57	219	7338
58	220	7269
59	223	7237
60	226	7213
61	229	7177
62	232	7139
63	234	7088
64	237	7070
65	239	7015
66	242	6993
67	244	6952
68	248	6947
69	250	6905
70	253	6877
71	255	6846
72	259	6850
73	262	6824
74	264	6790
75	267	6773
76	270	6750
77	272	6714
78	275	6690
79	277	6659
80	280	6641
81	282	6606
82	285	6601
83	287	6566
84	291	6565
85	293	6540
86	295	6504
87	299	6500
88	301	6473
89	305	6477
90	307	6455
91	310	6440
92	313	6425
93	315	6405
94	319	6399
95	321	6376
96	324	6356
97	326	6342
98	329	6330
99	333	6328
100	336	6328
101	339	6312
102	341	6293
103	344	6285
104	348	6281
105	351	6283
106	355	6289
107	358	6288
108	362	6285
109	366	6290
110	368	6271
111	371	6262
112	374	6250
113	375	6212
114	378	6208
115	380	6185
116	383	6169
117	386	6170
118	390	6165
119	393	6167
120	396	6156
121	399	6146
122	403	6160
123	406	6143
124	408	6127
125	411	6120
126	414	6110
127	416	6097
128	419	6083
129	421	6065
130	424	6058
131	427	6048
132	430	6044
133	431	6015
134	435	6009
135	437	6002
136	440	5992
137	443	5977
138	445	5967
139	448	5963
140	449	5929
141	453	5928
142	455	5912
143	458	5913
144	461	5903
145	464	5897
146	467	5889
147	470	5881
148	472	5867
149	477	5885
150	479	5870
151	483	5875
152	485	5864
153	488	5851
154	490	5843
155	493	5832
156	496	5826
157	499	5819
158	501	5811
159	504	5800
160	507	5794
161	509	5785
162	512	5771
163	514	5761
164	517	5758
165	521	5757
166	524	5758
167	528	5758
168	530	5742
169	533	5739
170	535	5732
171	538	5721
172	541	5713
173	543	5701
174	545	5692
175	550	5700
176	552	5689
177	555	5681
178	557	5667
179	559	5655
180	562	5651
181	564	5641
182	567	5636
183	570	5633
184	573	5624
185	576	5622
186	579	5619
187	582	5612
188	584	5600
189	587	5597
190	590	5593
191	592	5581
192	595	5573
193	598	5569
194	601	5565
195	603	5555
196	606	5552
197	609	5543
198	611	5532
199	613	5525
200	616	5519
201	620	5519
202	623	5517
203	625	5509
204	628	5503
205	630	5493
206	633	5489
207	636	5486
208	640	5484
209	643	5482
210	646	5484
211	649	5480
212	653	5481
213	656	5477
214	658	5469
215	661	5464
216	663	5454
217	667	5452
218	670	5449
219	672	5444
220	675	5437
221	678	5431
222	682	5435
223	684	5426
224	687	5422
225	690	5422
226	693	5419
227	696	5414
228	699	5409
229	702	5404
230	704	5398
231	707	5393
232	710	5391
233	714	5391
234	717	5387
235	720	5382
236	722	5376
237	724	5367
238	729	5372
239	731	5363
240	733	5355
241	736	5348
242	740	5353
243	742	5346
244	746	5345
245	749	5344
246	752	5339
247	755	5338
248	758	5333
249	760	5326
250	763	5318
251	766	5314
252	769	5312
253	771	5303
254	774	5302
255	777	5294
256	779	5289
257	782	5282
258	785	5279
259	788	5273
260	790	5267
261	793	5265
262	796	5257
263	798	5253
264	802	5252
265	804	5246
266	807	5240
267	809	5234
268	812	5229
269	815	5226
270	818	5219
271	820	5214
272	823	5207
273	826	5207
274	829	5201
275	832	5197
276	834	5193
277	837	5185
278	839	5180
279	842	5172
280	845	5173
281	847	5165
282	850	5160
283	852	5153
284	856	5155
285	859	5151
286	862	5146
287	865	5143
288	868	5142
289	871	5135
290	873	5130
291	876	5128
292	878	5119
293	882	5118
294	884	5113
295	887	5109
296	890	5107
297	893	5103
298	896	5102
299	899	5095
300	902	5093
301	904	5085
302	907	5083
303	910	5077
304	913	5078
305	916	5073
306	919	5071
307	922	5068
308	925	5065
309	927	5057
310	930	5052
311	933	5048
312	935	5041
313	938	5039
314	941	5034
315	944	5032
316	947	5028
317	949	5021
318	952	5018
319	955	5016
320	958	5012
321	961	5008
322	963	5003
323	966	5001
324	969	4996
325	972	4992
326	975	4988
327	977	4985
328	981	4983
329	983	4978
330	986	4973
331	989	4970
332	992	4969
333	995	4967
334	998	4960
335	1002	4962
336	1004	4957
337	1007	4952
338	1009	4944
339	1012	4941
340	1015	4942
341	1018	4936
342	1021	4935
343	1024	4929
344	1027	4926
345	1030	4924
346	1034	4927
347	1037	4923
348	1039	4917
349	1043	4918
350	1046	4914
351	1048	4909
352	1052	4909
353	1054	4903
354	1057	4898
355	1059	4892
356	1062	4890
357	1065	4885
358	1067	4880
359	1071	4880
360	1073	4873
361	1075	4868
362	1079	4867
363	1082	4866
364	1084	4859
365	1087	4855
366	1090	4853
367	1093	4850
368	1096	4847
369	1101	4850
370	1103	4845
371	1107	4845
372	1109	4838
373	1112	4836
374	1114	4829
375	1116	4824
376	1119	4821
377	1123	4819
378	1126	4816
379	1128	4812
380	1131	4808
381	1133	4802
382	1137	4802
383	1140	4799
384	1142	4794
385	1145	4789
386	1147	4783
387	1150	4780
388	1152	4772
389	1155	4768
390	1157	4763
391	1160	4758
392	1162	4753
393	1165	4750
394	1168	4745
395	1170	4741
396	1173	4737
397	1175	4731
398	1177	4726
399	1180	4720
400	1182	4716
401	1185	4712
402	1188	4711
403	1192	4712
404	1195	4707
405	1199	4709
406	1202	4708
407	1205	4704
408	1208	4702
409	1211	4697
410	1215	4698
411	1218	4694
412	1221	4693
413	1224	4689
414	1226	4683
415	1229	4680
416	1232	4677
417	1235	4674
418	1238	4674
419	1241	4672
420	1244	4669
421	1247	4664
422	1249	4659
423	1252	4656
424	1255	4651
425	1257	4647
426	1261	4645
427	1263	4640
428	1266	4637
429	1269	4634
430	1272	4632
431	1275	4630
432	1278	4627
433	1281	4623
434	1285	4624
435	1287	4619
436	1291	4620
437	1294	4615
438	1298	4615
439	1301	4614
440	1305	4614
441	1308	4611
442	1310	4606
443	1312	4600
444	1315	4597
445	1318	4593
446	1321	4592
447	1324	4587
448	1328	4588
449	1330	4583
450	1333	4580
451	1335	4575
452	1339	4573
453	1341	4568
454	1344	4566
455	1347	4561
456	1351	4562
457	1354	4558
458	1356	4555
459	1359	4552
460	1362	4548
461	1365	4544
462	1368	4542
463	1370	4537
464	1373	4534
465	1376	4532
466	1379	4529
467	1382	4525
468	1385	4521
469	1387	4516
470	1389	4511
471	1393	4509
472	1395	4505
473	1398	4501
474	1400	4496
475	1404	4495
476	1406	4490
477	1409	4487
478	1412	4485
479	1415	4482
480	1418	4478
481	1420	4474
482	1423	4471
483	1425	4465
484	1428	4461
485	1430	4456
486	1433	4452
487	1435	4447
488	1438	4443
489	1440	4438
490	1443	4435
491	1445	4430
492	1448	4426
493	1450	4423
494	1453	4420
495	1456	4415
496	1459	4412
497	1461	4408
498	1464	4405
499	1467	4401
500	1469	4396
501	1471	4392
502	1475	4390
503	1477	4386
504	1480	4381
505	1483	4380
506	1485	4374
507	1488	4371
508	1490	4366
509	1493	4362
510	1495	4358
511	1498	4354
512	1501	4353
513	1504	4350
514	1507	4346
515	1509	4342
516	1512	4338
517	1515	4337
518	1519	4335
519	1522	4331
520	1524	4328
521	1527	4324
522	1530	4321
523	1532	4317
524	1535	4313
525	1538	4310
526	1542	4310
527	1545	4307
528	1548	4306
529	1551	4303
530	1554	4299
531	1557	4296
532	1559	4292
533	1562	4289
534	1565	4285
535	1567	4282
536	1570	4277
537	1572	4274
538	1575	4271
539	1578	4266
540	1581	4263
541	1583	4260
542	1587	4259
543	1591	4259
544	1594	4256
545	1597	4253
546	1599	4249
547	1602	4244
548	1605	4243
549	1608	4240
550	1612	4241
551	1615	4238
552	1618	4234
553	1621	4231
554	1623	4227
555	1627	4227
556	1631	4225
557	1634	4223
558	1637	4220
559	1639	4215
560	1642	4211
561	1645	4209
562	1648	4208
563	1651	4204
564	1653	4199
565	1656	4197
566	1659	4194
567	1662	4190
568	1665	4188
569	1667	4183
570	1670	4181
571	1673	4177
572	1677	4176
573	1679	4172
574	1682	4168
575	1684	4165
576	1687	4160
577	1689	4156
578	1692	4152
579	1695	4150
580	1697	4146
581	1701	4146
582	1705	4144
583	1708	4143
584	1712	4141
585	1714	4137
586	1716	4132
587	1719	4128
588	1722	4126
589	1724	4122
590	1728	4120
591	1730	4116
592	1733	4113
593	1736	4110
594	1740	4109
595	1743	4107
596	1747	4105
597	1749	4101
598	1752	4099
599	1755	4096
600	1759	4096
601	1762	4092
602	1764	4088
603	1767	4084
604	1769	4080
605	1772	4078
606	1776	4077
607	1779	4074
608	1781	4069
609	1785	4068
610	1788	4065
611	1790	4060
612	1793	4058
613	1796	4054
614	1799	4052
615	1802	4048
616	1806	4049
617	1808	4045
618	1812	4043
619	1814	4039
620	1817	4036
621	1821	4034
622	1823	4031
623	1826	4028
624	1829	4025
625	1831	4020
626	1834	4017
627	1837	4013
628	1839	4009
629	1842	4006
630	1844	4002
631	1847	3998
632	1851	3997
633	1853	3993
634	1856	3990
635	1859	3988
636	1862	3984
637	1865	3982
638	1868	3979
639	1870	3975
640	1873	3972
641	1876	3969
642	1878	3965
643	1882	3963
644	1884	3959
645	1887	3955
646	1890	3953
647	1892	3949
648	1895	3945
649	1898	3942
650	1901	3940
651	1903	3935
652	1906	3931
653	1909	3929
654	1912	3927
655	1915	3924
656	1917	3919
657	1921	3918
658	1924	3915
659	1926	3911
660	1928	3907
661	1932	3905
662	1935	3902
663	1938	3900
664	1941	3896
665	1945	3896
666	1948	3893
667	1950	3889
668	1954	3888
669	1957	3886
670	1960	3883
671	1963	3880
672	1967	3878
673	1969	3874
674	1973	3873
675	1976	3870
676	1978	3866
677	1982	3866
678	1986	3863
679	1988	3860
680	1991	3857
681	1994	3854
682	1996	3850
683	1999	3847
684	2001	3843
685	2005	3840
686	2008	3838
687	2011	3836
688	2014	3832
689	2017	3830
690	2020	3827
691	2023	3825
692	2027	3823
693	2029	3819
694	2032	3817
695	2035	3813
696	2038	3810
697	2041	3807
698	2044	3804
699	2046	3800
700	2050	3800
701	2054	3798
702	2057	3795
703	2060	3792
704	2062	3788
705	2065	3785
706	2067	3780
707	2069	3777
708	2072	3773
709	2076	3772
710	2079	3769
711	2082	3766
712	2084	3763
713	2088	3761
714	2091	3757
715	2094	3755
716	2096	3751
717	2098	3747
718	2102	3745
719	2104	3741
720	2108	3739
721	2111	3737
722	2114	3734
723	2117	3731
724	2119	3727
725	2122	3724
726	2124	3720
727	2127	3717
728	2129	3712
729	2132	3710
730	2135	3706
731	2138	3703
732	2141	3701
733	2144	3698
734	2147	3696
735	2149	3691
736	2152	3688
737	2154	3684
738	2158	3682
739	2161	3680
740	2164	3677
741	2167	3675
742	2171	3673
743	2174	3671
744	2177	3667
745	2180	3665
746	2183	3663
747	2187	3660
748	2189	3657
749	2193	3655
750	2195	3651
751	2198	3648
752	2201	3646
753	2205	3644
754	2207	3640
755	2209	3636
756	2213	3633
757	2216	3631
758	2218	3628
759	2221	3624
760	2225	3623
761	2228	3620
762	2231	3617
763	2235	3616
764	2238	3614
765	2241	3611
766	2245	3609
767	2247	3604
768	2249	3601
769	2252	3598
770	2255	3595
771	2258	3592
772	2260	3588
773	2263	3585
774	2266	3582
775	2269	3579
776	2272	3576
777	2276	3574
778	2278	3571
779	2280	3567
780	2283	3564
781	2286	3561
782	2289	3558
783	2291	3554
784	2294	3551
785	2296	3547
786	2299	3543
787	2301	3540
788	2305	3538
789	2308	3535
790	2313	3535
791	2316	3532
792	2319	3530
793	2322	3527
794	2324	3523
795	2327	3520
796	2330	3517
797	2332	3513
798	2335	3510
799	2338	3507
800	2340	3503
801	2343	3500
802	2346	3497
803	2349	3495
804	2351	3491
805	2354	3488
806	2357	3484
807	2360	3481
808	2363	3479
809	2366	3476
810	2369	3474
811	2372	3470
812	2375	3467
813	2378	3465
814	2382	3463
815	2385	3461
816	2388	3458
817	2392	3456
818	2395	3454
819	2397	3450
820	2401	3448
821	2403	3444
822	2406	3441
823	2409	3438
824	2413	3436
825	2415	3433
826	2418	3431
827	2422	3428
828	2425	3425
829	2427	3422
830	2431	3419
831	2434	3417
832	2437	3415
833	2440	3412
834	2443	3409
835	2446	3406
836	2449	3403
837	2451	3399
838	2454	3397
839	2457	3393
840	2460	3390
841	2462	3386
842	2465	3383
843	2467	3379
844	2470	3376
845	2472	3372
846	2475	3369
847	2477	3365
848	2480	3363
849	2484	3361
850	2487	3358
851	2490	3355
852	2493	3352
853	2495	3349
854	2498	3345
855	2501	3342
856	2503	3339
857	2506	3336
858	2509	3332
859	2511	3329
860	2514	3326
861	2517	3323
862	2519	3319
863	2522	3316
864	2525	3313
865	2528	3311
866	2531	3307
867	2534	3305
868	2537	3302
869	2540	3299
870	2542	3295
871	2545	3293
872	2548	3289
873	2550	3286
874	2553	3283
875	2555	3279
876	2558	3276
877	2560	3272
878	2563	3269
879	2567	3268
880	2570	3264
881	2574	3263
882	2577	3260
883	2580	3257
884	2582	3254
885	2585	3251
886	2588	3247
887	2590	3244
888	2594	3242
889	2596	3238
890	2599	3235
891	2602	3232
892	2605	3229
893	2608	3226
894	2611	3223
895	2614	3221
896	2618	3219
897	2621	3216
898	2623	3212
899	2627	3211
900	2630	3208
901	2632	3204
902	2635	3202
903	2638	3199
904	2642	3197
905	2645	3194
906	2648	3191
907	2650	3188
908	2653	3184
909	2655	3181
910	2658	3178
911	2662	3175
912	2664	3172
913	2667	3169
914	2670	3166
915	2672	3162
916	2674	3158
917	2677	3155
918	2680	3152
919	2683	3150
920	2687	3148
921	2689	3144
922	2693	3142
923	2697	3140
924	2700	3138
925	2703	3135
926	2706	3132
927	2709	3129
928	2712	3127
929	2715	3124
930	2718	3121
931	2723	3120
932	2726	3118
933	2729	3115
934	2731	3111
935	2734	3108
936	2737	3105
937	2739	3101
938	2742	3098
939	2745	3095
940	2747	3092
941	2751	3090
942	2754	3087
943	2757	3085
944	2761	3082
945	2764	3079
946	2767	3077
947	2769	3073
948	2772	3070
949	2775	3067
950	2778	3064
951	2781	3061
952	2783	3058
953	2786	3055
954	2789	3052
955	2791	3048
956	2795	3046
